epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,1.9885659512295666,1.3855697446399264,24.93130152385711,50.01249063202598
2,1.0290726457696513,0.6632099198916602,63.52110916812391,73.8446165375968
3,0.5789365408667531,0.45278655063538326,79.47789158131401,83.06270297277042
4,0.4085290509747319,0.2183517465988795,86.00424681488883,94.37921558830877
5,0.285424799558176,0.16229669477731462,90.51961029228079,95.77816637521859
6,0.20618005807834316,0.25252609617180294,93.09892580564576,91.03172620534599
7,0.1624855448703367,0.09345299874742825,94.69148138895828,97.42692980264802
8,0.13517917820300715,0.07695323119442614,95.62827879090682,98.05146140394704
9,0.10518985309923788,0.052649462255575354,96.75868098925805,98.40119910067449
10,0.09442724709758958,0.042111290060722874,97.10841868598551,98.70097426929803
